"RelativePath","Name","Extension","SizeMB","SizeBytes","CreationTime","LastWriteTime"
"\Karty Lokacji\scenariusz 1\Losowe\Stary magazyn zbożowy 6.card","Stary magazyn zbożowy 6.card",".card","13,46","14109938","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Losowe\Targ Rybny 1.card","Targ Rybny 1.card",".card","16,19","16976016","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 1\Losowe\Warsztat Kowalski 9.card","Warsztat Kowalski 9.card",".card","3,7","3878102","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 1\Losowe\Warsztat Kołodzieja.card","Warsztat Kołodzieja.card",".card","14,79","15508888","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 1\Losowe\Warsztat Mechaniczny 11.card","Warsztat Mechaniczny 11.card",".card","4,39","4601001","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 1\Losowe\Wędzarnio-suszarnia 8.card","Wędzarnio-suszarnia 8.card",".card","5,37","5629908","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 1\Losowe\Las\Gęsty Las.card","Gęsty Las.card",".card","4,9","5142772","08.02.2026 11:20:27","08.02.2026 11:20:27"
"\Karty Lokacji\scenariusz 1\Losowe\Las\Polana.card","Polana.card",".card","4,98","5223454","08.02.2026 11:20:27","08.02.2026 11:20:27"
"\Karty Lokacji\scenariusz 1\Losowe\Las\Ścieżka wśród krzaków.card","Ścieżka wśród krzaków.card",".card","5","5243480","08.02.2026 11:20:27","09.02.2026 19:11:48"
"\Karty Lokacji\scenariusz 2\Dworzec Puszczykowo.card","Dworzec Puszczykowo.card",".card","26,72","28020091","27.01.2026 09:41:20","10.02.2026 20:35:52"
"\Karty Lokacji\scenariusz 2\Dworzec Puszczykowo.png","Dworzec Puszczykowo.png",".png","10,02","10506961","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 2\Fabryka Drożdży.card","Fabryka Drożdży.card",".card","31,97","33520943","02.02.2026 22:14:55","10.02.2026 20:35:52"
"\Karty Lokacji\scenariusz 2\Fabryka Drożdży.png","Fabryka Drożdży.png",".png","11,99","12569857","02.02.2026 22:14:55","02.02.2026 22:14:55"
"\Karty Lokacji\scenariusz 2\Most Chwaliszewski A.card","Most Chwaliszewski A.card",".card","34,73","36419441","02.02.2026 22:14:56","10.02.2026 20:35:53"
"\Karty Lokacji\scenariusz 2\Most Chwaliszewski B.card","Most Chwaliszewski B.card",".card","38,42","40285739","02.02.2026 22:14:56","10.02.2026 20:35:53"
"\Karty Lokacji\scenariusz 2\most chwaliszewski B.png","most chwaliszewski B.png",".png","14,41","15106451","02.02.2026 22:14:59","02.02.2026 22:14:59"
"\Karty Lokacji\scenariusz 2\most chwaliszewski.png","most chwaliszewski.png",".png","13,02","13656761","02.02.2026 22:14:59","02.02.2026 22:14:59"
"\Karty Lokacji\scenariusz 2\Pradawne Dęby.card","Pradawne Dęby.card",".card","21,96","23023927","27.01.2026 09:41:20","10.02.2026 20:35:53"
"\Karty Lokacji\scenariusz 2\pradawne dęby.png","pradawne dęby.png",".png","8,23","8633440","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\przystań def.png","przystań def.png",".png","1,61","1691284","16.01.2026 21:26:20","16.01.2026 21:26:20"
"\Karty Lokacji\scenariusz 2\Przystań.card","Przystań.card",".card","0,47","492608","16.01.2026 21:26:19","10.02.2026 20:35:53"
"\Karty Lokacji\scenariusz 2\Rozlewiska Dębiny.card","Rozlewiska Dębiny.card",".card","35,11","36811795","02.02.2026 22:14:57","10.02.2026 20:35:54"
"\Karty Lokacji\scenariusz 2\Rozlewiska Dębiny.png","Rozlewiska Dębiny.png",".png","13,16","13803890","02.02.2026 22:14:57","02.02.2026 22:14:57"
"\Karty Lokacji\scenariusz 2\Skażony Nurt.card","Skażony Nurt.card",".card","33,29","34907865","02.02.2026 22:14:58","10.02.2026 20:35:54"
"\Karty Lokacji\scenariusz 2\Skażony Nurt.png","Skażony Nurt.png",".png","12,48","13089934","02.02.2026 22:14:58","02.02.2026 22:14:58"
"\Karty Lokacji\scenariusz 2\stara przystań.jpeg","stara przystań.jpeg",".jpeg","0,18","184194","05.02.2026 12:55:16","05.02.2026 12:55:16"
"\Karty Lokacji\scenariusz 2\Zakole Warty.card","Zakole Warty.card",".card","21,84","22900095","16.01.2026 21:26:20","05.02.2026 12:55:16"
"\Karty Lokacji\scenariusz 2\Zakole Warty.png","Zakole Warty.png",".png","8,19","8587003","16.01.2026 21:26:20","05.02.2026 12:55:16"
"\Karty Lokacji\scenariusz 2\Zrujnowany Fort.card","Zrujnowany Fort.card",".card","19,55","20503708","02.02.2026 22:14:58","10.02.2026 20:35:54"
"\Karty Lokacji\scenariusz 2\zrujnowany fort.png","zrujnowany fort.png",".png","7,33","7688379","02.02.2026 22:14:59","02.02.2026 22:14:59"
"\Karty Lokacji\scenariusz 2\Łęgi Wierzbowe.card","Łęgi Wierzbowe.card",".card","27,73","29072718","27.01.2026 09:41:21","10.02.2026 20:35:55"
"\Karty Lokacji\scenariusz 2\Łęgi Wierzbowe.png","Łęgi Wierzbowe.png",".png","10,4","10901725","27.01.2026 09:41:22","27.01.2026 09:41:22"
"\Karty Lokacji\scenariusz 2\archiwum\pradawne dęby 15.png","pradawne dęby 15.png",".png","8,73","9154832","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\pradawne dęby 9.png","pradawne dęby 9.png",".png","8,79","9216469","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\przystań 15.png","przystań 15.png",".png","1,69","1768451","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\przystań 9.png","przystań 9.png",".png","1,61","1692429","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\Przystań_kor_15.card","Przystań_kor_15.card",".card","4,5","4717300","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 2\archiwum\Przystań_kor_9.card","Przystań_kor_9.card",".card","4,31","4514477","27.01.2026 09:41:20","27.01.2026 09:41:20"
"\Karty Lokacji\scenariusz 2\archiwum\Zakole Warty 15.card","Zakole Warty 15.card",".card","22,23","23310335","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\Zakole Warty 15.png","Zakole Warty 15.png",".png","8,34","8740841","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\Zakole Warty 9.card","Zakole Warty 9.card",".card","22,02","23087156","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\archiwum\Zakole Warty 9.png","Zakole Warty 9.png",".png","8,26","8657173","27.01.2026 09:41:21","27.01.2026 09:41:21"
"\Karty Lokacji\scenariusz 2\Karty Barier\Pruskie Miny Rzeczne.card","Pruskie Miny Rzeczne.card",".card","10,32","10822246","02.02.2026 22:14:55","10.02.2026 20:35:52"
"\Karty Lokacji\scenariusz 2\Karty Barier\Toksyczny Kożuch.card","Toksyczny Kożuch.card",".card","20,17","21148307","02.02.2026 22:14:55","10.02.2026 20:35:52"
"\Karty Lokacji\scenariusz 2\Karty Barier\Żyjący Zator.card","Żyjący Zator.card",".card","21,4","22436275","02.02.2026 22:14:55","10.02.2026 20:35:52"
"\Karty Lokacji\scenariusz 3\Biblioteka Uniwersytecka.card","Biblioteka Uniwersytecka.card",".card","3,64","3815734","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Biblioteka Uniwersytecka_kor_9.card","Biblioteka Uniwersytecka_kor_9.card",".card","1,93","2026355","16.01.2026 21:26:20","20.02.2026 15:50:21"
"\Karty Lokacji\scenariusz 3\Cytadela.card","Cytadela.card",".card","0,48","501958","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Dyrekcja Zakładu.card","Dyrekcja Zakładu.card",".card","0,37","391533","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Dyrekcja Zakładu_kor_9.card","Dyrekcja Zakładu_kor_9.card",".card","0,32","336763","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Linia Rozlewnicza.card","Linia Rozlewnicza.card",".card","0,42","438053","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Linia Rozlewnicza_kor_9.card","Linia Rozlewnicza_kor_9.card",".card","0,44","462329","16.01.2026 21:26:20","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Mleczarnia Spółdzielcza.card","Mleczarnia Spółdzielcza.card",".card","0,36","379570","25.01.2026 20:15:33","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Nadbrzeże Warty.card","Nadbrzeże Warty.card",".card","0,44","457657","16.01.2026 21:26:20","20.02.2026 15:50:21"
"\Karty Lokacji\scenariusz 3\Ogród Botaniczny.card","Ogród Botaniczny.card",".card","3,6","3773881","24.01.2026 20:17:26","20.02.2026 15:50:21"
"\Karty Lokacji\scenariusz 3\Ostrów Tumski.card","Ostrów Tumski.card",".card","5,86","6139502","25.01.2026 18:40:51","20.02.2026 15:50:21"
"\Karty Lokacji\scenariusz 3\Rynek Jeżycki.card","Rynek Jeżycki.card",".card","3,64","3814855","25.01.2026 11:12:47","20.02.2026 15:50:21"
"\Karty Lokacji\scenariusz 3\Sołacz.card","Sołacz.card",".card","6,74","7065187","25.01.2026 11:56:44","17.03.2026 21:03:49"
"\Karty Lokacji\scenariusz 3\Stary Rynek.card","Stary Rynek.card",".card","3,25","3409298","16.01.2026 21:26:20","20.02.2026 15:50:22"
"\Karty Lokacji\scenariusz 3\Tunele Forteczne.card","Tunele Forteczne.card",".card","0,39","407184","16.01.2026 21:26:20","20.02.2026 15:50:22"
"\Karty Lokacji\scenariusz 3\UAM.card","UAM.card",".card","0,35","366220","16.01.2026 21:26:20","20.02.2026 15:50:22"
"\Karty Lokacji\scenariusz 3\Zakłady Cegielskiego.card","Zakłady Cegielskiego.card",".card","0,36","378222","16.01.2026 21:26:20","20.02.2026 15:50:22"
"\Karty Scenariusza\Korzenie.card","Korzenie.card",".card","0","530","16.01.2026 21:26:20","16.01.2026 21:26:20"
"\Karty Scenariusza\set.png","set.png",".png","1,66","1744224","16.01.2026 21:26:20","16.01.2026 21:26:20"
"\Karty Scenariusza\set2.png","set2.png",".png","1,74","1826501","16.01.2026 21:26:20","16.01.2026 21:26:20"
"\Karty Scenariusza\test.card","test.card",".card","0","479","16.01.2026 21:26:20","16.01.2026 21:26:20"
"\Karty Scenariusza\scenariusz 2\Akt 1.card","Akt 1.card",".card","2,64","2769959","02.02.2026 22:14:59","10.02.2026 20:35:55"
"\Karty Scenariusza\scenariusz 2\Akt 1.png","Akt 1.png",".png","1,98","2076199","02.02.2026 22:14:59","02.02.2026 22:14:59"
"\Karty Scenariusza\scenariusz 2\Akt 2.card","Akt 2.card",".card","2,61","2734988","02.02.2026 22:14:59","10.02.2026 20:35:55"
"\Karty Scenariusza\scenariusz 2\Akt 2.png","Akt 2.png",".png","1,96","2050058","02.02.2026 22:14:59","02.02.2026 22:14:59"
"\Karty Scenariusza\scenariusz 2\Akt 3.card","Akt 3.card",".card","10,32","10822539","02.02.2026 22:14:59","10.02.2026 20:35:55"
"\Karty Scenariusza\scenariusz 2\Akt 3.png","Akt 3.png",".png","0,66","693494","02.02.2026 22:14:59","05.02.2026 12:55:16"
"\Karty Scenariusza\scenariusz 2\Akt 4 Wariant A.card","Akt 4 Wariant A.card",".card","11,18","11723872","02.02.2026 22:14:59","10.02.2026 20:35:55"
